"@MichaelLovegro1 @Anna_Soubry @BorisJohnson You didn’t answer my question."
"RT @snicklin1: @PhilippaSmart1 @Dollface196 @FKGPML @SkyNews @BorisJohnson I’m emailing&amp; calling Sky today to complain about their biased &amp;…"
"RT @SteveW_Leave_EU: Bercow is responsible for a large part of the chaos at Westminster.
He has ignored convention when it has suited his b…"
"RT @DanCardenMP: FACT: it is NOT POSSIBLE for a General Election to take place before 31st October.

The Prime Minister knows this but cont…"
"RT @EmporerofOZ: @BorisJohnson   lets put you in a ring and treat you like a bull in  #bullfight 

stupid moron you are Boris 

#bullfighti…"
"RT @IsaNamee: @heraldscotland @BorisJohnson The man is scum. 🚮 https://t.co/C5mDMgP1uM"
"RT @captureasecond: I hope all Politicians are watching Spitfire on BBC4 just now. The men being interviewed saved this country over 70 yea…"
"Hey @BorisJohnson  &amp; @Nigel_Farage - are you happy now? Is this what you want for the UK? Or will you only be happy with full-on riots so that you can invoke the Emergency Powers Act?

You are playing with peoples' lives!!

#StopBrexit https://t.co/QPDam3K2v8"
"RT @10DowningStreet: "The NHS is the best health service in the world. I'm making sure it stays that way, with £200m for new state-of-the-a…"
"@Tess1462 @DomaineValescia @BorisJohnson For ‘off the cuff’ you mean ‘off the point of question’ he put me off voting Tory!"
"RT @CCHQPress: .@BorisJohnson ✍️for @politicshome: 
'With Brexit done, our country will be renewed and strengthened, ready to reclaim its n…"
"@pilaraymara Need to get rid of the stink from a rotten egg @BorisJohnson https://t.co/57qNWeU2Lm"
"@DonRoach5 You’d better ask a #Brexit voter who paved the way, or @BorisJohnson who is pursuing a No Deal Brexit for his own agenda, not the country’s."
"RT @BorisJohnson: We need to get Brexit done so we can move this country forward &amp; focus on our priorities - the NHS, policing &amp; schools. h…"
"RT @RonnieTemplar: So Cherry can make jokes about Jo Cox and get away with it, but then she is not Boris Johnson!! @JuliaHB1 @piersmorgan @…"
"@BorisJohnson F-Off - Even your own sister says that you are under pressure to deliver a “No Deal Brexit” from Billionaires who have invested billions in shorting the £. 

In my books, that is treason!"
"RT @BorisJohnson: We need to get Brexit done so we can move this country forward &amp; focus on our priorities - the NHS, policing &amp; schools. h…"
"@BorisJohnson It's time to reform and revullf6 out democracy as many people both remain and leave are disillusioned with it.

#radicalreform"
"It's not about Brexit, it's not even about @BorisJohnson's inability to keep it in his pants - it's about the fact that the current Prime Minister of the United Kingdom is an unpleasant, corrupt, untrustworthy character with strong links to some deeply nasty people. https://t.co/AawkRA9K2X"
"@simonmmathias @Nack10 @politicalpig @BorisJohnson @Conservatives @JamesCleverly @OdysseanProject @GavinWilliamson @Everyone This was the Sun Tzu quote I was searching for. Thank you"
"@SkyNewsPolitics @SkyNews @jessphillips @BorisJohnson After what she has said in the past that's a touch hypocritical"
"RT @SteveW_Leave_EU: Bercow is responsible for a large part of the chaos at Westminster.
He has ignored convention when it has suited his b…"
"RT @SkyNews: "He did what everyone thought was lawful."

Conservative MP @PeterBoneUK says @BorisJohnson should not apologise for the unlaw…"
"This is great news. I am pleased @BorisJohnson has now said publicly to @bbcmartynoates what he has told me privately many times, that EU funding for #Cornwall will be replaced like for like after #Brexit https://t.co/mJe8bImiol"
"RT @mikefjvine: @JolyonMaugham It is becoming increasingly clear that there is one thing even more important that defeating #Brexit and tha…"
"If we must #GetBrexit done, please ensure, @BorisJohnson, that we retain access to the Single Market.
Please be reminded that if we start seeing queues form at docks or we have to endure shortages, your #Brexit strategy will have failed!"
"RT @BorisJohnson: Today we are announcing £200m for new state-of-the-art equipment that will give staff the tools they need to boost cancer…"
"RT @IanBlackfordMP: There is a clear warning here for Parliament. @BorisJohnson has to be brought down by a cross party consensus to stop t…"
"RT @BorisJohnson: We need to get Brexit done so we can move this country forward &amp; focus on our priorities - the NHS, policing &amp; schools. h…"
"RT @DeselectNow: @Cornish_Damo @BorisJohnson 8 billion quid going to the richest in society rests on Boris Johnson lying well enough to the…"
"@BorisJohnson It's also time for less repetitive tweets!"
"@BorisJohnson https://t.co/tKTGugP35I

#JailJohnson"
"RT @RonnieTemplar: So Cherry can make jokes about Jo Cox and get away with it, but then she is not Boris Johnson!! @JuliaHB1 @piersmorgan @…"
"RT @joannaccherry: A wee reminder from ⁦@FullFact⁩, the UK’s Independent fact checking service that when ⁦@BorisJohnson⁩ talks about Scotla…"
"@Shambles151 @BorisJohnson They think the electorate are morons, Johnson complaining about how long it's taken when he's voted against it twice and the government in which he was a minister were running the clock down..."
"RT @mialp: @MattChorley And who was the brave minister who said this anonymously? The irony is that Cummings despises @BorisJohnson as bein…"
"RT @TSalfordian: @EdPomfret @BorisJohnson @paulasherriff HANG ON HANG ON, the British public are starting to see we're keeping them in the…"
"@BorisJohnson 🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺STOP BREXIT SACK JOHNSON🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺"
"@BorisJohnson No #StopBrexitSaveBritain NOW"
"RT @politicalpig: It has been suggested that there is a "LEAK" in Cabinet.  An insider feeding the 'rabbles' inside knowledge of plans and…"
"RT @BorisJohnson: It’s time to get Brexit done and get on with delivering on Britain’s priorities: safer streets, better hospitals and impr…"
"@j_macpherson @PaulBennoFlynn @JohnJohnnyev @jomu1950 @JohnTheEssexMan @DanCardenMP @BorisJohnson I cant see how this is going to end,Labour with Corbyn wont get a majority,IF he promises a second referendum how could the  Liberal Democrats back him when both wont want a second referendum"
"RT @BorisJohnson: Today we are announcing £200m for new state-of-the-art equipment that will give staff the tools they need to boost cancer…"
"@gilli5 @BorisJohnson Also is boris Johnson not one of these swamp monsters? He is a career politician, Eaton educated and probably has less in common with the general population than 90% of Westminster."
"RT @wanderlust0215: @EdPomfret @paulasherriff @BorisJohnson Oh bit it's ok for all the same MP's to be calling Boris names etc their hypocr…"
